class,precision,recall,f1_score,support
dunya ,0.8585365853658536,0.8756218905472637,0.8669950738916257,201
ekonomi ,0.8476190476190476,0.8557692307692307,0.8516746411483254,208
kultur ,0.94,0.9353233830845771,0.9376558603491272,201
saglik ,0.9380952380952381,0.9609756097560975,0.9493975903614458,205
siyaset ,0.9238578680203046,0.896551724137931,0.91,203
spor ,0.9760765550239234,0.9807692307692307,0.9784172661870504,208
teknoloji ,0.9108910891089109,0.8888888888888888,0.8997555012224939,207
