epoch,train_loss,train_acc,val_loss,val_acc,val_f1
0,1.4721991199034232,0.4981578437075819,0.9357183708084954,0.7185314685314685,0.7185599007833048
1,0.7063135668451404,0.8004653868528214,0.7197819766071107,0.7902097902097902,0.7913473812956914
2,0.33260396831197503,0.9154547217374442,0.5518745829661688,0.8496503496503497,0.8500832875677445
3,0.1518450796397196,0.9666472755477991,0.44673121348023415,0.8828671328671329,0.8816035440649473
4,0.07752634549835398,0.9840992825286019,0.5176521564523379,0.8846153846153846,0.8854350730174221
5,0.0459011088407104,0.9908861741322474,0.5134281263583236,0.8968531468531469,0.8964896934479986
6,0.04563752350247936,0.9908861741322474,0.5766292673846086,0.8811188811188811,0.8810012369860153
7,0.033715577964077384,0.9932131083963545,0.6081722796791129,0.8916083916083916,0.8916329647041623
8,0.025508897167049856,0.9959278650378127,0.5702979792323377,0.9020979020979021,0.9022966168721969
9,0.01849022412882474,0.997673065735893,0.5442297068528004,0.9055944055944056,0.9063231840430533
10,0.011770838478157573,0.9986426216792709,0.6121992195645968,0.9125874125874126,0.9134683982928614
11,0.008469185972820542,0.9986426216792709,0.630673096411758,0.9108391608391608,0.9114076757676314
12,0.004137863139341654,0.9996121776226489,0.664764444447226,0.9143356643356644,0.9148802888271141
13,0.003258975554436566,0.9996121776226489,0.7017860888606973,0.9125874125874126,0.9131626422077154
14,0.004231434084319101,0.9992243552452976,0.7162069442371527,0.9178321678321678,0.9183199468420717
15,0.004012330139596964,0.9992243552452976,0.7084370029883252,0.9195804195804196,0.9199451339244924
16,0.0030717124066058327,0.9998060888113244,0.7385327764269378,0.9213286713286714,0.9216118192789459
17,0.003117249505117393,0.9994182664339732,0.7994685787707567,0.9108391608391608,0.9114484970415891
18,0.0019857270116641124,0.9998060888113244,0.7890777198804749,0.9178321678321678,0.9181352566366305
19,0.0031679883511879993,0.9996121776226489,0.9585981012011567,0.9020979020979021,0.9023689004311757
